tag,fy,fp,end,val,unit
CashAndCashEquivalentsAtCarryingValue,2009,FY,2006-12-31,28244000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2007-12-31,33981000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2007-12-31,33981000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2007-12-31,33981000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2007-12-31,33981000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2007-12-31,33981000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2008-06-30,38968000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2008-09-30,36674000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,FY,2008-12-31,31437000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2009-03-31,24972000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q2,2009-06-30,15576000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2009-06-30,15576000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,Q3,2009-09-30,12472000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2009-09-30,12472000000,USD
CashAndCashEquivalentsAtCarryingValue,2009,FY,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q1,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q2,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q3,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,FY,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,FY,2009-12-31,10693000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q1,2010-03-31,13742000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q1,2010-03-31,13742000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q2,2010-06-30,13252000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q2,2010-06-30,13252000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,Q3,2010-09-30,12244000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q3,2010-09-30,12244000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,FY,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q1,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q2,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,Q3,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2011,FY,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q1,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q2,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,Q3,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2012,FY,2010-12-31,7825000000,USD
CashAndCashEquivalentsAtCarryingValue,2013,FY,2010-12-31,7825000000,USD
